UniProt ID	Zmobilis	Nstercoris	Melsdenii	Ckluyveri	Efaecalis	Blongum	Fsuccinogenes	Lhilgardii
P21164	1	0	1	1	1	1	0	1
P62707	1	2	0	0	1	2	0	3
P76014	0	1	1	1	1	0	0	0
P07014	0	1	1	0	0	1	0	0
P0A6A3	0	1	1	1	1	1	1	2
A0A6N7J003	0	0	0	0	0	0	0	0
P69054	0	1	0	0	0	0	0	0
A0A0H3JRU9	0	0	1	1	1	0	0	0
P0A6T3	0	0	0	0	1	1	0	1
P0AC81	1	1	1	0	1	0	0	0
P76149	2	1	2	1	2	0	0	4
P27306	2	2	1	2	5	1	0	2
P76015	0	1	1	0	1	0	0	0
P77445	0	0	1	4	2	1	0	1
P0ABD5	1	1	0	1	1	0	0	0
A0A6N7IZA1	1	0	1	1	0	0	0	0
P55792	0	0	1	1	0	0	0	0
A0A6N7J0S6	2	0	2	2	0	0	0	0
P0A6T1	1	1	0	0	0	1	1	0
P0AC41	1	2	1	1	0	2	2	0
P0A6V8	1	1	0	0	0	0	1	0
G5EBD7	0	1	1	0	2	1	0	2
A0A6N7J161	0	0	3	3	0	0	0	0
Q70AC7	0	0	2	1	2	0	0	0
C7N8L9	0	0	1	0	9	0	0	0
P26646	0	0	0	0	1	0	0	0
P00722	0	0	0	0	1	1	1	0
P80644	0	0	0	0	0	0	0	0
F9USS9	0	0	2	0	0	0	0	0
P0A836	1	2	0	0	0	1	0	0
P11411	1	1	0	0	1	1	0	1
P0AC33	1	0	0	1	0	0	1	0
P00509	1	0	1	0	0	0	0	0
P0A6F3	0	1	1	0	1	0	0	4
P00864	1	1	0	0	0	1	0	0
P0ABB0	1	1	1	1	1	1	0	2
O53182	0	0	0	0	0	0	0	0
P06959	0	0	0	0	1	0	0	0
P0AEP1	2	0	1	1	0	2	1	4
P0A955	1	0	2	0	2	0	1	1
P0A799	1	1	1	1	1	1	1	1
P69783	0	0	2	1	8	1	0	1
P11162	0	0	0	0	7	0	0	0
P0A6K6	0	0	1	1	1	0	0	2
A0A6L5GQT1	1	2	6	2	0	0	0	1
P61889	0	0	0	0	1	1	1	0
Q5LUF3	0	0	0	0	0	0	0	0
P77580	0	0	0	0	0	0	0	0
P0A9C3	1	0	0	0	1	0	0	2
P0A9M8	0	1	0	0	0	0	0	0
O53181	0	0	0	0	0	0	0	0
P06999	0	0	1	0	4	0	0	0
P0AGI4	0	0	0	0	0	1	0	0
P0A763	0	1	0	1	1	0	1	0
P0A993	0	1	0	0	0	0	0	0
P69786	0	0	2	0	4	0	0	0
P09099	0	1	2	0	1	2	1	3
Q3IZP4	0	0	0	0	0	0	0	0
P0A6P9	1	1	1	1	1	1	1	1
P37349	0	0	0	0	0	0	0	0
P0A9B2	1	1	1	2	2	1	1	3
P23936	0	0	0	0	0	2	0	1
Q46389	1	1	1	1	0	0	0	0
P0ABB4	1	3	1	3	2	2	0	2
P28861	1	0	0	0	0	0	0	0
A0A6N7J249	0	0	3	2	1	0	0	1
A0A6N7IYC8	0	0	0	0	0	0	0	0
P0A6S7	1	1	1	1	1	1	1	1
P37388	1	0	0	1	2	3	0	0
P02904	0	0	0	0	0	0	0	0
P0A991	1	0	0	0	0	0	0	0
P23538	0	1	1	0	0	0	0	0
P31896	0	0	0	1	0	0	0	0
