BiGG Models Name	Zmobilis	Nstercoris	Melsdenii	Ckluyveri	Efaecalis	Blongum	Fsuccinogenes	Lhilgardii
Methenyltetrahydrofolate cyclohydrolase	1	1	1	1	1	1	1	1
Inorganic diphosphatase	1	0	0	0	0	1	1	0
Oxaloacetate decarboxylase	0	0	0	0	0	0	0	1
Phosphoenolpyruvate carboxylase	1	1	0	0	0	1	0	0
Phosphoenolpyruvate carboxykinase (ATP)	0	0	1	1	0	0	0	0
Fructose-bisphosphate aldolase	1	0	0	0	0	0	0	0
Sedoheptulose 1,7-bisphosphate aldolase	0	0	0	0	1	1	0	0
Phosphoketolase (fructose-6-phosphate utilizing)	0	0	0	0	0	1	0	1
Deoxyribose-phosphate aldolase	0	0	0	1	0	0	0	0
Tagatose-bisphosphate aldolase	0	1	1	1	1	0	1	0
3-hexulose-6-phosphate synthase	0	0	0	0	1	0	0	1
Phosphoketolase (xylulose-5-phosphate utilizing)	0	0	0	0	0	1	0	1
Isocitrate lyase	0	0	0	0	0	0	0	0
Enolase	1	1	1	1	1	1	1	1
4-hydroxybutanoyl-CoA dehydratase	0	0	1	1	0	0	0	0
3-hydroxyacyl-CoA dehydratase (3-hydroxyheptanoyl-CoA)	0	0	1	1	1	0	0	1
3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)	0	0	1	1	1	0	0	1
3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)	0	0	1	1	1	0	0	1
Fumarase	1	0	0	1	0	0	1	0
Aconitate hydratase	1	1	0	0	0	1	1	1
Lactoyl CoA dehydratase	0	0	1	0	0	0	0	0
3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	0	0	1	1	1	0	0	1
3-hydroxyacyl-CoA dehydratase (3-hydroxypentanoyl-CoA)	0	0	1	1	1	0	0	1
Methylglyoxal synthase	0	0	0	0	1	0	0	0
Lactoylglutathione lyase	1	1	1	0	1	0	0	0
Lactate racemase	0	0	1	0	0	0	0	0
Ribulose 5-phosphate 3-epimerase	1	1	1	1	1	1	1	1
UDPglucose 4-epimerase	0	1	1	1	1	1	1	1
Aldose 1-epimerase	1	0	0	0	1	0	0	1
Methylmalonyl-CoA epimerase	0	0	0	0	0	0	0	0
Triose-phosphate isomerase	1	1	1	1	1	1	1	1
Galactose-6-phosphate isomerase	1	0	1	1	1	0	0	0
Arabino-3-hexulose-6-P Isomerase	0	0	0	0	0	0	0	1
Xylose isomerase	0	0	0	0	0	1	0	1
Ribose-5-phosphate isomerase	0	1	0	0	1	1	1	1
Glucose 6 phosphate isomerase	0	1	0	0	0	1	0	0
Glucose-6-phosphate isomerase	1	1	0	0	0	1	1	0
Phosphoglycerate mutase	1	1	0	0	1	1	0	1
Phosphoglucomutase	0	0	1	1	1	0	0	1
Phosphopentomutase	0	0	1	1	1	0	0	1
Methylmalonyl-CoA mutase	0	0	0	0	0	0	0	0
Acetyl-CoA synthetase	0	1	0	1	0	0	1	0
Succinate Coa ligase ADP forming	1	1	0	0	0	1	0	0
Formate-tetrahydrofolate ligase	1	0	1	1	1	1	0	1
Pyruvate carboxylase	0	0	1	1	1	0	0	0
Acetyl-CoA carboxylase	1	1	0	1	1	0	0	0
Propionyl-CoA carboxylase	0	0	0	0	0	0	0	0
*ATP Synthase	0	1	0	0	0	0	0	0
D-xylose transport via ABC system	0	0	0	0	0	1	0	0
Hexokinase (D-glucose:ATP)	0	0	1	0	0	0	0	0
L-lactate dehydrogenase	0	0	1	1	1	1	1	1
6-phosphogluconolactonase	0	0	0	0	0	0	0	0
6-phosphogluconate dehydratase	1	1	1	1	0	1	1	1
2-dehydro-3-deoxy-phosphogluconate aldolase	1	0	1	0	1	0	1	1
Pyruvate decarboxylase	1	0	0	0	0	0	0	0
Lactate CoA transferase (acetyl-CoA)	0	0	1	0	0	0	0	0
Glucose 6-Phosphate Dehydrogenase	1	1	0	0	1	1	0	1
Phosphoenolpyruvate carboxykinase (GTP)	0	0	0	0	0	0	1	0
Fumarate Reductase NADH	0	0	0	0	0	0	0	0
Nucleoside-diphosphate kinase (ATP:GDP)	0	1	0	1	1	0	1	0
Electron confurcating hydrogenase	0	0	0	0	0	0	0	0
