BiGG Models Name	Blongum	Fsuccinogenes	Ckluyveri	Zmobilis	Melsdenii	Lhilgardii	Efaecalis	Nstercoris
Deoxyribokinase	0	0	0	0	0	1	1	0
Ribokinase	0	0	0	0	0	1	1	0
Xylulokinase	0	0	0	0	0	1	0	0
NAD kinase	1	0	0	1	0	1	1	1
Dihydroxyacetone kinase	0	0	0	0	0	0	0	0
Glycerol kinase	0	0	0	0	1	1	1	1
Pyruvate kinase	1	0	1	1	1	1	1	1
Galactokinase	1	0	0	0	0	1	1	0
Phosphofructokinase	0	1	0	0	0	0	0	0
Acetate kinase	0	0	0	0	0	1	0	0
Phosphoglycerate kinase	0	0	0	0	0	0	0	0
D-glucose transport via PEP:Pyr PTS	0	0	0	0	0	0	0	0
Adenylate kinase	1	0	1	1	1	1	1	1
UDPglucose--hexose-1-phosphate uridylyltransferase	1	0	0	0	0	1	1	0
Phosphoenolpyruvate synthase	0	0	1	0	1	0	0	1
Propionate CoA Transferase	0	0	0	0	1	0	0	0
Succinyl-CoA:acetate CoA transferase	0	0	0	0	0	0	0	0
Propanoyl-CoA: succinate CoA-transferase	0	0	0	0	0	0	0	0
*CoA Transferase (C4:0-C2:0)	0	0	0	0	0	0	0	0
*CoA Transferase (C5:0-C2:0)	0	0	0	0	0	0	0	0
*CoA Transferase (C6:0-C2:0)	0	0	0	0	0	0	0	0
*CoA Transferase (C7:0-C2:0)	0	0	0	0	0	0	0	0
CoA Transferase (C8:0-C2:0)	0	0	0	0	0	0	0	0
*Acyl-CoA Hydrolase (C6:0)	0	0	0	0	0	0	0	0
*Acyl-CoA Hydrolase (C7:0)	0	0	0	0	0	0	0	0
*Acyl-CoA Hydrolase (C8:0)	0	0	0	0	0	0	0	0
*Acyl-CoA Hydrolase (C4:0)	0	0	0	0	0	0	0	0
*Acyl-CoA Hydrolase (C5:0)	0	0	0	0	0	0	0	0
Hydroxyacylglutathione hydrolase	0	0	0	1	0	0	0	1
Fructose-bisphosphatase	0	0	1	1	1	0	0	1
B-galactosidase	0	0	0	1	0	0	1	0
6-phospho-beta-galactosidase	0	0	0	0	0	0	1	0
Methenyltetrahydrofolate cyclohydrolase	0	1	0	1	0	0	0	1
Inorganic diphosphatase	0	0	1	1	1	1	1	1
Oxaloacetate decarboxylase	0	0	0	0	0	0	1	0
Phosphoenolpyruvate carboxylase	1	0	0	1	0	1	0	1
Phosphoenolpyruvate carboxykinase (ATP)	0	0	1	0	1	0	0	0
Fructose-bisphosphate aldolase	1	0	1	1	1	0	0	1
Sedoheptulose 1,7-bisphosphate aldolase	1	0	1	1	1	0	0	1
Phosphoketolase (fructose-6-phosphate utilizing)	0	0	0	0	0	0	0	0
Deoxyribose-phosphate aldolase	0	0	1	0	0	1	1	0
Tagatose-bisphosphate aldolase	0	0	0	0	0	0	1	0
3-hexulose-6-phosphate synthase	0	0	0	0	0	0	0	0
Phosphoketolase (xylulose-5-phosphate utilizing)	0	0	0	0	0	0	0	0
Isocitrate lyase	0	0	0	0	0	0	0	0
Enolase	1	1	1	1	1	1	1	1
4-hydroxybutanoyl-CoA dehydratase	0	0	0	0	0	0	0	0
3-hydroxyacyl-CoA dehydratase (3-hydroxyheptanoyl-CoA)	0	0	0	0	0	0	0	0
3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA)	0	0	0	0	0	0	0	0
3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA)	0	0	0	0	0	0	0	0
Fumarase	0	0	1	0	1	0	0	1
Aconitate hydratase	1	1	1	1	0	1	0	0
Lactoyl CoA dehydratase	0	0	0	0	0	0	0	0
3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA)	0	0	0	0	0	0	0	0
3-hydroxyacyl-CoA dehydratase (3-hydroxypentanoyl-CoA)	0	0	0	0	0	0	0	0
Methylglyoxal synthase	0	0	0	0	0	0	1	0
Lactoylglutathione lyase	0	0	0	0	0	0	0	1
Lactate racemase	0	0	0	0	0	0	0	0
Ribulose 5-phosphate 3-epimerase	1	1	1	1	1	1	1	1
UDPglucose 4-epimerase	1	1	1	0	1	1	1	1
Aldose 1-epimerase	0	0	0	0	0	0	0	0
Methylmalonyl-CoA epimerase	0	0	0	0	0	0	0	0
Triose-phosphate isomerase	1	1	1	1	1	1	1	1
Galactose-6-phosphate isomerase	0	0	0	0	0	0	1	0
Arabino-3-hexulose-6-P Isomerase	0	0	0	0	0	0	0	0
Xylose isomerase	1	0	0	0	0	1	0	0
Ribose-5-phosphate isomerase	1	1	1	1	1	1	1	1
Glucose 6 phosphate isomerase	0	0	0	0	0	0	0	0
Glucose-6-phosphate isomerase	1	1	1	1	0	1	1	1
Phosphoglycerate mutase	1	1	1	1	1	1	1	1
Phosphoglucomutase	0	0	0	0	0	1	1	0
Phosphopentomutase	0	0	0	0	0	0	0	0
Methylmalonyl-CoA mutase	0	0	0	0	0	0	0	0
Acetyl-CoA synthetase	0	0	0	0	0	0	0	1
Succinate Coa ligase ADP forming	1	0	0	1	0	0	0	1
Formate-tetrahydrofolate ligase	1	0	1	1	1	1	1	0
Pyruvate carboxylase	0	0	1	0	1	0	1	0
Acetyl-CoA carboxylase	0	0	1	1	0	0	1	1
Propionyl-CoA carboxylase	0	0	0	0	0	0	0	0
*ATP Synthase	1	1	1	1	1	0	1	1
D-xylose transport via ABC system	0	0	0	0	0	0	0	0
Hexokinase (D-glucose:ATP)	0	0	0	0	0	0	0	0
L-lactate dehydrogenase	1	0	1	0	0	1	1	0
6-phosphogluconolactonase	0	0	0	1	0	0	0	1
6-phosphogluconate dehydratase	0	0	0	1	0	0	0	0
2-dehydro-3-deoxy-phosphogluconate aldolase	0	0	0	1	1	1	0	0
Pyruvate decarboxylase	0	0	0	0	0	0	0	0
Lactate CoA transferase (acetyl-CoA)	0	0	0	0	1	0	0	0
Glucose 6-Phosphate Dehydrogenase	0	0	0	0	0	1	0	0
Phosphoenolpyruvate carboxykinase (GTP)	0	1	0	0	0	0	0	0
Fumarate Reductase NADH	0	0	0	0	0	0	0	0
Nucleoside-diphosphate kinase (ATP:GDP)	0	1	1	0	0	0	1	1
Electron confurcating hydrogenase	0	0	0	0	0	0	0	0
